server_name,server_url,server_github_url,owner,repo,github_stars,download_count,experimental_ai_generated_description
Prisma Postgres,https://www.pulsemcp.com/servers/prisma-postgres,https://github.com/prisma/prisma,prisma,prisma,42110,,"Prisma's MCP server enables LLMs to manage Prisma Postgres databases through natural language commands. Available via the Prisma CLI command 'prisma platform mcp --early-access', it allows AI assistants to perform operations like creating database instances, running schema migrations, and managing database tables. The server integrates with popular AI tools including Cursor, Windsurf, Claude Code, Claude Desktop, and the OpenAI Agents SDK, making it accessible across multiple development environments for database management tasks."
MindsDB,https://www.pulsemcp.com/servers/mindsdb,https://github.com/mindsdb/mindsdb,mindsdb,mindsdb,27896,,"MindsDB is an MCP server that enables your MCP applications to answer questions over large-scale federated data—spanning databases, data warehouses, and SaaS applications.

​
Key Features
Unified Data Gateway
MindsDB acts as a unified data gateway that handles complex data operations, freeing AI apps and agents from the need to manage individual data sources or write complex logic. MindsDB enables “one-step” querying across multiple sources with full auditability.

Superior User Experience
MindsDB delivers a polished, secure, and user-friendly experience on top of MCP integrations. Our turnkey solution includes robust security controls, monitoring, governance, and native integrations to ensure compatibility with non-MCP solutions and applications.

Advanced AI Workflows
MindsDB orchestrates complex AI workflows, such as joining data from multiple sources and coordinating across various models and data systems in a single query. These composite workflows are challenging to implement using MCP alone."
RepoMix,https://www.pulsemcp.com/servers/yamadashy-repomix,https://github.com/yamadashy/repomix,yamadashy,repomix,15376,548328.0,"Repomix is a powerful tool that packs your entire repository into a single, AI-friendly file.
It is perfect for when you need to feed your codebase to Large Language Models (LLMs) or other AI tools like Claude, ChatGPT, DeepSeek, Perplexity, Gemini, Gemma, Llama, Grok, and more."
Activepieces,https://www.pulsemcp.com/servers/activepieces,https://github.com/activepieces/activepieces,activepieces,activepieces,14344,630.0,Connect to your hosted MCP Server using any MCP client to communicate with tools
Screenpipe,https://www.pulsemcp.com/servers/mediar-ai-screenpipe,https://github.com/mediar-ai/screenpipe/tree/HEAD/screenpipe-integrations/screenpipe-mcp,mediar-ai,screenpipe,14276,,"This screenpipe MCP server, developed by Mediar AI, provides a standardized interface for searching and retrieving screen recordings and associated data. Built with Python and leveraging libraries like httpx and nest-asyncio, it offers tools to query recordings based on content type, time range, and application context. The server integrates with a local screenpipe API, abstracting the complexities of data retrieval and formatting into a consistent MCP interface. By enabling AI systems to access and analyze screen capture data, this implementation facilitates use cases such as productivity tracking, user behavior analysis, and automated documentation of digital workflows."
Skyvern,https://www.pulsemcp.com/servers/skyvern,https://github.com/skyvern-ai/skyvern/tree/HEAD/integrations/mcp,skyvern-ai,skyvern,13242,16479.0,An MCP implementation for Skyvern AI that enables browser automation and web interaction capabilities through the Model Context Protocol.
GitHub,https://www.pulsemcp.com/servers/github,https://github.com/github/github-mcp-server,github,github-mcp-server,12861,,"A Model Context Protocol (MCP) server for GitHub that enables AI assistants to access GitHub repositories, issues, pull requests, and other GitHub data."
Mastra Docs,https://www.pulsemcp.com/servers/mastra-docs,https://github.com/mastra-ai/mastra/tree/HEAD/packages/mcp-docs-server,mastra-ai,mastra,12633,43983.0,"A Model Context Protocol (MCP) server that provides AI assistants with direct access to Mastra.ai's complete knowledge base. This includes comprehensive documentation with MDX support, a collection of production-ready code examples, technical blog posts, and detailed package changelogs. The server integrates with popular AI development environments like Cursor and Windsurf, as well as Mastra agents, making it easy to build documentation-aware AI assistants that can provide accurate, up-to-date information about Mastra.ai's ecosystem."
Blender,https://www.pulsemcp.com/servers/ahujasid-blender,https://github.com/ahujasid/blender-mcp,ahujasid,blender-mcp,10714,479777.0,"BlenderMCP enables Claude to control Blender through the Model Context Protocol, allowing for natural language manipulation of 3D scenes. The implementation consists of a Blender addon that creates a socket server and an MCP server that communicates with it, exposing resources and tools for scene inspection, object creation/manipulation, material application, and rendering. Users can create and modify 3D content through conversational prompts without needing to know Blender's interface or Python API, making it ideal for rapid prototyping, educational purposes, or assisting users unfamiliar with 3D modeling software."
Pipedream,https://www.pulsemcp.com/servers/pipedream,https://github.com/pipedreamhq/pipedream/tree/HEAD/modelcontextprotocol,pipedreamhq,pipedream,9665,2490.0,"Pipedream's MCP server lets you:
- Run the servers locally with npx @pipedream/mcp
- Host the servers yourself to use them within your app or company

Some of the key features include the ability to:
- Run your own MCP server for over 2,500 apps
- Manage servers for your users, in your own app.
- Connect accounts, configure params, and make API requests, all via tools
- Fully-managed OAuth and credential storage "
