owner,repo,github_stars,download_count,experimental_ai_generated_description,risk_category,adjusted_risk_score,popularity_score,doc_quality_score,doc_quality_adjustment,readme_found,has_installation_docs,has_usage_docs,has_api_reference,has_security_docs,has_error_handling,has_cli_docs,has_code_examples,has_screenshots,has_license_info,readme_size_bytes,headings_count,code_blocks_count,readability_score,missing_sections,oauth_implementation,direct_api_tokens,main_risk_factors,outbound_connections
packages,notte-mcp,380,0,"Notte MCP Server provides a bridge between AI assistants and Notte's cloud browser technology, enabling web automation and scraping capabilities. It offers tools for managing browser sessions, taking screenshots, observing page elements, scraping data, and executing actions on web pages. The server also includes an agent/operator feature that can autonomously complete specified tasks on websites. Built on FastMCP with tight integration to the Notte SDK, it's particularly valuable for applications requiring web interaction capabilities without managing browser automation directly.",MINIMAL,1.3,1.3,0,-0.0,No,No,No,No,No,No,No,No,No,No,0,0,0,0,,No,No,,
samuelgursky,davinci-resolve-mcp,151,0,"A Python-based MCP server for DaVinci Resolve that provides programmatic access to video editing, color grading, and media management functions. Created by Samuel Gursky, this implementation enables developers and editors to automate complex workflows in DaVinci Resolve through a flexible scripting interface, supporting operations like timeline manipulation, clip analysis, color correction, and media pool management.",MINIMAL,1.07,1.3,7.6,-2.28,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,15640,51,23,3.5,,No,No,,http://localhost:8000/api
freepeak,db-mcp-server,150,0,"DB-MCP-Server provides a database connectivity layer for AI assistants through the Model Context Protocol, enabling direct interaction with MySQL and PostgreSQL databases. Built in Go, it supports both local stdio and production SSE transport modes, with configurable database connections through environment variables. The server can be deployed using Docker for easy integration into existing workflows, making it ideal for AI applications that need to query, analyze, or manipulate structured data stored in relational databases without requiring separate database access tools.",MINIMAL,1.07,1.3,7.8,-2.34,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,25825,73,34,5.0,,No,No,,
dbt-labs,dbt-mcp,148,0,"dbt-MCP server provides a bridge between AI assistants and dbt (data build tool) resources, enabling interaction with data models, metrics, and transformations. Built by dbt Labs, it offers tools for executing dbt CLI commands, discovering metadata about models, and querying the dbt Semantic Layer. The server supports local dbt project operations, metadata retrieval from dbt Cloud, and metric querying capabilities, making it valuable for data analysts and engineers who want to explore, analyze, and manage their data transformations through natural language interfaces without manually navigating dbt's command line or web interface.",MINIMAL,0.61,1.3,6.4,-1.92,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,7187,17,3,5.0,usage; error_handling,Yes,No,,https://{multicell_account_prefix; https://metadata.{host
elastic,mcp-server-elasticsearch,148,6137,"Elasticsearch MCP server enables AI assistants to interact with Elasticsearch clusters through natural language conversations. Built with TypeScript and the official Elasticsearch client library, it provides tools for listing indices, inspecting field mappings, and executing full Query DSL searches with automatic highlighting of text fields. The implementation handles authentication via API keys, supports configurable security permissions, and is particularly valuable for users who need to explore and analyze their Elasticsearch data through conversational interfaces.",MINIMAL,1.43,1.7,7.7,-2.31,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,6086,14,8,5.0,,No,Yes,,
vast-ai-research,tripo-mcp,147,5851,"Tripo MCP provides a bridge between AI assistants and the Tripo 3D generation API, enabling the creation and manipulation of 3D models directly within conversation interfaces. Developed by VAST-AI-Research, this server implementation allows users to generate 3D assets from text descriptions, import models into Blender, and perform various operations on 3D objects through the Blender addon integration. The server exposes tools for creating models from text prompts, checking task status, importing GLB files, and manipulating scene objects - making it particularly valuable for 3D content creation workflows where users need to quickly prototype and visualize concepts without switching between applications.",MINIMAL,1.34,1.7,4.7,-1.41,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,1600,7,1,3.5,error_handling; license,No,Yes,,
crystaldba,postgres-mcp,146,6934,"PostgreSQL MCP is a database tuning and analysis tool that provides real-time insights into PostgreSQL performance. It offers tools for analyzing query execution plans, identifying slow queries, monitoring database health metrics, and recommending index optimizations. The server implements features like hypothetical index testing, transaction health monitoring, and buffer cache analysis, making it valuable for database administrators and developers who need to optimize query performance, troubleshoot bottlenecks, or maintain healthy PostgreSQL databases. Built with Python 3.12 and packaged as a Docker container, it supports both PostgreSQL 15 and 16 with a focus on read-only safety through restricted access modes.",MINIMAL,1.47,1.7,7.8,-2.34,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,35985,40,15,5.0,,No,No,,
matthewdailey,figma-mcp,146,19954,"This MCP server, developed by Matthew Dailey, enables AI assistants to interact with Figma design files through the Figma REST API. Built in TypeScript, it allows adding Figma files to conversations, viewing nodes, reading and posting comments. The implementation integrates seamlessly with Claude Desktop and stands out by providing a direct bridge between AI models and Figma's collaborative design platform. By connecting AI capabilities with Figma's extensive design ecosystem, this server enables AI systems to analyze designs, provide feedback, and assist in the design process. It is particularly useful for scenarios like design reviews, generating design suggestions, and building AI assistants that can understand and contribute to visual design workflows.",MINIMAL,1.61,1.9,7.0,-2.1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,2739,9,6,5.0,license,No,Yes,,
negokaz,excel-mcp-server,145,1983,"This Excel MCP server, developed by Kazuki Negoro, provides a bridge between Model Context Protocol and Microsoft Excel files. It enables reading and writing of spreadsheet data, specifically focusing on text values in xlsx format files. The implementation is designed for Node.js environments and leverages libraries like exceljs for Excel file manipulation. It's particularly useful for scenarios where AI assistants or other MCP-compatible clients need to interact with structured data stored in Excel spreadsheets, such as data analysis, report generation, or automated spreadsheet updates based on AI-driven insights.",MINIMAL,1.34,1.5,5.4,-1.62,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,4182,15,3,5.0,usage; api_reference; error_handling,No,No,,
recursechat,mcp-server-apple-shortcuts,145,0,"This MCP server, developed by recursechat, enables AI assistants like Claude to control Apple Shortcuts automations on macOS. Built with Node.js, it allows listing available shortcuts and running them by name with optional input parameters. The implementation provides a simple interface for automation control, integrating seamlessly with Claude Desktop. By connecting AI capabilities with Apple's powerful Shortcuts app, this server enables AI systems to trigger complex automations and perform tasks on macOS. It is particularly useful for scenarios like hands-free device control, automated workflow execution, and building AI assistants that can interact with and control macOS applications and system functions.",MINIMAL,1.12,1.3,5.9,-1.77,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,2343,8,6,5.0,error_handling; project_info,No,No,,
