server_name,server_url,owner,repo,github_stars,download_count,experimental_ai_generated_description,github_stars.1,forks,latest_commit_date,server_github_url
WatchBase,https://www.pulsemcp.com/servers/watchdealer-pavel-watchbase,watchdealer-pavel,watchbase-mcp-server,1.0,,"WatchBase MCP Server provides structured access to the WatchBase Data Feed API, enabling AI assistants to query comprehensive watch metadata including brands, collections, reference numbers, and technical details. Developed by watchdealer-pavel, this TypeScript implementation exposes six specialized tools that map directly to WatchBase API endpoints, handling authentication and error management behind the scenes. The server requires a WatchBase API key passed as an environment variable and returns standardized JSON responses, making it particularly valuable for watch enthusiasts, collectors, or retailers who need to access detailed horological information through AI assistants.",1,0,2025-04-13T19:53:31Z,https://github.com/watchdealer-pavel/watchbase-mcp-server
Feishu (Lark),https://www.pulsemcp.com/servers/cso1z-feishu,cso1z,feishu-mcp,32.0,3240.0,"Feishu-MCP provides a bridge between AI assistants and Feishu (also known as Lark), ByteDance's workplace collaboration platform. Built by cso1z, this TypeScript implementation enables models to interact with Feishu's API, allowing for document retrieval, messaging, and other collaborative features directly within AI conversations. The server can be run either as a CLI application or HTTP server, with configuration handled through environment variables. It's particularly valuable for teams already using Feishu who want to integrate AI assistants into their existing workflow without switching contexts.",32,5,2025-04-26T17:46:02Z,https://github.com/cso1z/feishu-mcp
Glide API,https://www.pulsemcp.com/servers/knmurphy-glide-api,knmurphy,glide-api-mcp-server,5.0,,"This Glide API MCP server, developed by an unnamed creator, provides a bridge between the Model Context Protocol and Glide's API (versions 1 and 2). Built with TypeScript and leveraging the MCP SDK and Axios, it offers tools for interacting with Glide apps, including retrieving app information, managing tables, and manipulating data rows. The server implements secure API key handling through environment variables and runtime configuration. By abstracting Glide API operations into a standardized MCP format, it enables AI systems to easily interact with and manage Glide applications. This implementation is particularly valuable for automating Glide app management and data operations, facilitating use cases such as dynamic data updates, automated reporting, and integration of Glide apps with other systems or workflows.",5,5,2024-12-26T19:05:21Z,https://github.com/knmurphy/glide-api-mcp-server
Rime Text-to-Speech,https://www.pulsemcp.com/servers/matthewdailey-rime-tts,matthewdailey,rime-mcp,4.0,853.0,"A text-to-speech server for the MCP ecosystem that integrates with Rime's API to convert text into spoken audio. This implementation streams audio content with optimized buffering to reduce latency between text generation and speech playback. It provides a 'speak' tool that can be configured through environment variables to control voice selection, speaking style, and playback behavior. Built with TypeScript and Node.js, it supports cross-platform audio playback through various media players and includes features for handling WebSocket connections and managing temporary audio files. Particularly useful for AI assistants that need to communicate verbally with users or for applications requiring audio narration of generated content.",4,1,2025-05-01T21:11:41Z,https://github.com/matthewdailey/rime-mcp
OSP Marketing Tools,https://www.pulsemcp.com/servers/x51xxx-osp-marketing-tools,x51xxx,osp-marketing-tools-mcp,1.0,,"OSP Marketing Tools MCP Server provides a TypeScript implementation of Open Strategy Partners' proven methodologies for technical marketing content creation and optimization. Developed by Taras Trishchuk, this server offers tools for product value mapping, meta information generation, content editing with semantic codes, technical writing guidance, and on-page SEO optimization. It supports both stdio and HTTP/SSE transport methods, making it compatible with Claude Desktop, Cursor, and web applications. The TypeScript implementation offers advantages over the original Python version including simplified installation, cross-platform compatibility, and better performance, making it ideal for marketing teams creating high-quality technical content without Python dependencies.",1,0,2025-04-03T14:43:26Z,https://github.com/x51xxx/osp-marketing-tools-mcp
Excalidraw,https://www.pulsemcp.com/servers/yctimlin-excalidraw,yctimlin,mcp_excalidraw,37.0,,"Excalidraw MCP Server provides a powerful API that enables LLMs to create, modify, and manipulate Excalidraw diagrams programmatically. Built with Node.js using the Model Context Protocol SDK, it exposes a comprehensive set of tools for element creation, modification, querying, and organization including grouping, alignment, and distribution functions. The server maintains an in-memory representation of Excalidraw elements and scene state, validates operations through Zod schemas, and supports integration with Claude Desktop and Cursor through configuration files. This implementation is particularly valuable for AI-assisted diagramming, flowchart creation, and visual collaboration where diagrams need to be generated or modified through conversation.",38,7,2025-03-17T05:18:27Z,https://github.com/yctimlin/mcp_excalidraw
NumPy,https://www.pulsemcp.com/servers/colesmcintosh-numpy,colesmcintosh,numpy-mcp,1.0,,"This MCP server implementation provides NumPy-based mathematical operations and statistical analysis tools. It offers functions for matrix multiplication, eigendecomposition, polynomial fitting, and basic statistical measures. Developed using FastMCP, it's designed for AI assistants requiring advanced numerical computations, data analysis, and linear algebra operations in Python environments.",1,1,2025-03-04T05:10:00Z,https://github.com/colesmcintosh/numpy-mcp
Neurolorap Code Collector,https://www.pulsemcp.com/servers/aindreyway-neurolorap-code-collector,aindreyway,mcp-server-neurolora-p,7.0,,"This MCP server for code collection and documentation, developed by Aindrey, streamlines the process of gathering code from files and directories into a single markdown document. Built with Python and leveraging the Model Context Protocol SDK, it offers features like customizable ignore patterns, syntax highlighting, and table of contents generation. The server implements robust file system synchronization and comprehensive error handling, providing a standardized interface for code documentation tasks. By abstracting the complexities of file traversal and markdown generation, it enables AI systems to easily create comprehensive code overviews. This implementation is particularly valuable for applications requiring programmatic code documentation, facilitating use cases such as project audits, codebase analysis, and automated documentation generation.",7,3,2024-12-26T08:18:21Z,https://github.com/aindreyway/mcp-server-neurolora-p
MemGPT,https://www.pulsemcp.com/servers/vic563-memgpt,vic563,memgpt-mcp-server,21.0,,"This TypeScript-based MCP server implements a memory system for LLMs, enabling conversation history management across multiple providers. Developed as an open-source project, it offers tools for chatting, retrieving and clearing memory, and switching between LLM providers and models. The implementation supports OpenAI, Anthropic, OpenRouter, and Ollama, with a focus on the latest Claude models. It uses SQLite for persistent storage and includes features like unlimited memory retrieval. This server is particularly useful for building AI assistants that require long-term memory, multi-provider flexibility, and seamless model switching, making it suitable for applications in customer support, content creation, and interactive AI experiences.",21,4,2025-01-03T21:04:14Z,https://github.com/vic563/memgpt-mcp-server
LLM Completions,https://www.pulsemcp.com/servers/pyroprompts-llm-completions-mcp,pyroprompts,any-chat-completions-mcp,106.0,,"This MCP server, developed by pyroprompts, enables AI assistants to interact with any OpenAI SDK-compatible chat completion API, including OpenAI, Perplexity, Groq, xAI, and PyroPrompts. It provides a single 'chat' tool that relays questions to the configured AI provider and returns responses. Built in TypeScript, the implementation offers a flexible way to integrate various AI models into Claude Desktop through a standardized MCP interface. By abstracting away provider-specific details, this server allows easy switching between different AI services without changing the core integration. It is particularly useful for users who want to leverage multiple AI providers within Claude, experiment with different models, or avoid vendor lock-in while maintaining a consistent interaction pattern.",107,17,2025-05-01T02:39:22Z,https://github.com/pyroprompts/any-chat-completions-mcp
