Owner,Repository Name
21st-dev,magic-mcp
66julienmartin,MCP-server-Deepseek_R1
66julienmartin,MCP-server-Qwen_Max
AI-Agent-Hub,ai-agent-marketplace-index-mcp
AI-QL,chat-mcp
Adfin-Engineering,mcp-server-adfin
Aiven-Open,mcp-aiven
Arize-ai,phoenix
AshDevFr,discourse-mcp-server
AudienseCo,mcp-audiense-insights
Automata-Labs-team,code-sandbox-mcp
Azure,azure-mcp
Boston343,starwind-ui-mcp
ChristianHinge,dicom-mcp
ChristophEnglisch,keycloak-model-context-protocol
ChronulusAI,chronulus-mcp
CircleCI-Public,mcp-server-circleci
ClickHouse,mcp-clickhouse
CodeLogicIncEngineering,codelogic-mcp-server
CoderGamester,mcp-unity
Coding-Solo,godot-mcp
ConechoAI,openai-websearch-mcp
Couchbase-Ecosystem,mcp-server-couchbase
DMontgomery40,deepseek-mcp-server
DappierAI,dappier-mcp
EduBase,MCP
EnesCinr,twitter-mcp
Fewsats,fewsats-mcp
Fibery-inc,fibery-mcp-server
Flux159,mcp-server-kubernetes
GLips,Figma-Context-MCP
GeLi2001,datadog-mcp-server
GeLi2001,shopify-mcp
GeLi2001,tft-mcp-server
GibsonAI,mcp
GoPlausible,algorand-mcp
GongRzhe,Gmail-MCP-Server
GongRzhe,Image-Generation-MCP-Server
GongRzhe,JSON-MCP-Server
GongRzhe,Langflow-DOC-QA-SERVER
GongRzhe,Quickchart-MCP-Server
GongRzhe,REDIS-MCP-Server
GongRzhe,TRAVEL-PLANNER-MCP-Server
GongRzhe,terminal-controller-mcp
GreptimeTeam,greptimedb
GreptimeTeam,greptimedb-mcp-server
IBM,wxflows
InditexTech,mcp-server-simulator-ios-idb
InditexTech,mcp-teams-server
Jeamee,MCPHub-Desktop
JetBrains,mcp-jetbrains
JexinSam,mssql_mcp_server
JordiNeil,mcp-databricks-server
Klavis-AI,klavis
Kong,mcp-konnect
KyrieTangSheng,mcp-server-nationalparks
Laksh-star,mcp-server-tmdb
LucasHild,mcp-server-bigquery
MFYDev,ghost-mcp
MindscapeHQ,mcp-server-raygun
OctagonAI,octagon-mcp-server
Omar-v2,mcp-ical
Omedia,mcp-server-drupal
PaddleHQ,paddle-mcp-server
ProgramComputer,NASA-MCP-server
RamXX,mcp-tavily
SaseQ,discord-mcp
ShenghaiWang,xcodebuild
Simon-Kansara,ableton-live-mcp-server
SimonB97,win-cli-mcp-server
Spathodea-Network,opencti-mcp
StarRocks,mcp-server-starrocks
StevenStavrakis,obsidian-mcp
TBXark,mcp-proxy
TaazKareem,clickup-mcp-server
Taidgh-Robinson,nba-mcp-server
TencentEdgeOne,edgeone-pages-mcp
TermiX-official,bsc-mcp
Tritlo,lsp-mcp
Unstructured-IO,UNS-MCP
VectorInstitute,mcp-goodnews
Verodat,verodat-mcp-server
VeyraX,veyrax-mcp
Vortiago,mcp-azure-devops
Vortiago,mcp-outline
XGenerationLab,xiyan_mcp_server
XeroAPI,xero-mcp-server
YanxingLiu,dify-mcp-server
YuChenSSR,mindmap-mcp-server
ZilongXue,claude-post
ZubeidHendricks,youtube-mcp-server
aarora79,aws-cost-explorer-mcp-server
abel9851,mcp-server-mariadb
abhiz123,todoist-mcp-server
adenot,mcp-google-search
adityak74,mcp-scholarly
aekanun2020,mcp-server
agentrpc,agentrpc
ahnlabio,bicscan-mcp
ahujasid,blender-mcp
alexarevalo9,ticktick-mcp-server
alibaba,higress
aliyun,alibabacloud-adb-mysql-mcp-server
