owner,repo,github_stars,download_count,experimental_ai_generated_description,risk_category,adjusted_risk_score,popularity_score,doc_quality_score,doc_quality_adjustment,readme_found,has_installation_docs,has_usage_docs,has_api_reference,has_security_docs,has_error_handling,has_cli_docs,has_code_examples,has_screenshots,has_license_info,readme_size_bytes,headings_count,code_blocks_count,readability_score,missing_sections,oauth_implementation,direct_api_tokens,main_risk_factors,outbound_connections
mendableai,firecrawl-mcp-server,2868,267678,"This MCP server, developed by vrknetha, integrates with FireCrawl to provide advanced web scraping capabilities. It implements tools for extracting content from JavaScript-heavy websites, supporting mobile and desktop views, handling rate limits, and outputting multiple formats including HTML, Markdown, screenshots, and raw text. The server exposes functions for single URL scraping, batch processing, and job status checking. By leveraging FireCrawl's infrastructure, this implementation enables AI assistants to easily incorporate web data into their responses. It is particularly useful for scenarios requiring structured data extraction from complex web pages, such as market research, content aggregation, or generating reports from online sources.",MINIMAL,3.03,3.3,7.8,-2.34,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,16884,45,25,5.0,,No,Yes,,
awslabs,bedrock-kb-retrieval-mcp-server,2647,11207,"An MCP server implementation that enables retrieval from Amazon Bedrock Knowledge Bases, allowing AI applications to access information stored in knowledge bases through the Model Context Protocol.",MINIMAL,2.63,2.85,7.4,-2.22,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4601,13,3,5.0,,Yes,Yes,,https://github.com/different-org/repo; https://github.com/aws-samples/aws-cdk-examples; https://docs.aws.amazon.com/pdfs/prescriptive-guidance/latest/terraform-aws-provider-best-practices/terraform-aws-provider-best-practices.pdf; https://awslabs.github.io/mcp/; https://api.github.com/repos/owner/repo/tags
awslabs,cdk-mcp-server,2647,11357,"An MCP server implementation for AWS services, allowing AI applications to access AWS services like Bedrock, S3, and DynamoDB through the Model Context Protocol.",MINIMAL,2.65,2.85,6.6,-1.98,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,7564,15,3,2.0,configuration; license,Yes,Yes,,https://github.com/different-org/repo; https://github.com/aws-samples/aws-cdk-examples; https://docs.aws.amazon.com/pdfs/prescriptive-guidance/latest/terraform-aws-provider-best-practices/terraform-aws-provider-best-practices.pdf; https://awslabs.github.io/mcp/; https://api.github.com/repos/owner/repo/tags
awslabs,cost-analysis-mcp-server,2647,14638,An MCP server that analyzes the cost of LLM API calls by tracking tokens used and calculating costs based on model pricing. It provides detailed cost breakdowns and usage statistics for better budget management and optimization of AI applications.,MINIMAL,2.63,2.85,7.4,-2.22,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3707,9,4,5.0,,Yes,Yes,,https://github.com/different-org/repo; https://github.com/aws-samples/aws-cdk-examples; https://docs.aws.amazon.com/pdfs/prescriptive-guidance/latest/terraform-aws-provider-best-practices/terraform-aws-provider-best-practices.pdf; https://awslabs.github.io/mcp/; https://api.github.com/repos/owner/repo/tags
awslabs,aws-documentation-mcp-server,2647,30562,An MCP server that provides access to AWS documentation. This server allows Claude to search and retrieve information from AWS documentation to help answer questions about AWS services and features.,MINIMAL,2.75,2.95,6.6,-1.98,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,2574,10,5,5.0,configuration,Yes,Yes,,https://github.com/different-org/repo; https://github.com/aws-samples/aws-cdk-examples; https://docs.aws.amazon.com/pdfs/prescriptive-guidance/latest/terraform-aws-provider-best-practices/terraform-aws-provider-best-practices.pdf; https://awslabs.github.io/mcp/; https://api.github.com/repos/owner/repo/tags
awslabs,nova-canvas-mcp-server,2647,9643,"An MCP server implementation for AWS Nova Canvas, a service that enables developers to build AI applications with Claude. This server allows Claude to access and manipulate data in Nova Canvas workspaces.",MINIMAL,2.62,2.85,7.5,-2.25,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3906,11,5,5.0,,Yes,Yes,,https://github.com/different-org/repo; https://github.com/aws-samples/aws-cdk-examples; https://docs.aws.amazon.com/pdfs/prescriptive-guidance/latest/terraform-aws-provider-best-practices/terraform-aws-provider-best-practices.pdf; https://awslabs.github.io/mcp/; https://api.github.com/repos/owner/repo/tags
lingodotdev,lingo.dev,1691,106109,"Lingo.dev MCP server enables AI assistants to translate content across multiple languages through the Model Context Protocol. Built by the Lingo.dev team, it provides a 'translate' tool that leverages advanced language models to handle app localization, website content, and other text data. The implementation can be run via npx command with an API key from the Lingo.dev platform, making it accessible from various AI tools including Cursor, Claude desktop, and Cline for VS Code. This integration is particularly valuable for developers and content creators who need to translate materials without leaving their AI assistant workflow.",MINIMAL,2.09,2.3,7.0,-2.1,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,5999,11,7,3.5,error_handling,Yes,Yes,,https://developer.atlassian.com/cloud/bitbucket/rest/api-group-pullrequests/#api-repositories-workspace-repo-slug-pullrequests-get; https://bitbucket.org/${repositoryOwner; http://host.docker.internal:29418/
21st-dev,magic-mcp,1619,0,"This MCP server implementation provides a bridge to the 21st.dev/magic API, enabling AI assistants to interact with frontend development tasks. Developed by sergeibynas, it offers tools for working with frontend code directly from IDEs like Cursor, WindSurf, and VSCode with Cline. The server is built using TypeScript and integrates with the Model Context Protocol SDK. It focuses on secure API key management and is designed to streamline frontend development workflows. The implementation is particularly useful for AI applications that need to automate or assist with frontend coding tasks, offering a unique approach to AI-assisted web development.",MINIMAL,2.47,2.7,7.8,-2.34,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7935,24,5,5.0,,Yes,Yes,,http://www.w3.org/2000/svg; https://vitejs.dev/config/\nexport; https://codesandbox.io/p/sandbox/; https://codesandbox.io/api/v1/sandboxes/define; http://${hostname
makenotion,notion-mcp-server,1531,81372,"Notion MCP Server provides a bridge to the Notion API, enabling AI assistants to interact with Notion workspaces through the Model Context Protocol. This TypeScript implementation converts the Notion OpenAPI specification into MCP-compatible tools, handling authentication, request formatting, and file uploads. The server exposes Notion's capabilities including searching content, querying databases, and managing pages and comments, while maintaining proper error handling and response formatting. It's particularly useful for AI agents that need to retrieve, create, or modify Notion content without requiring users to write complex API interaction code.",MINIMAL,2.71,2.9,6.5,-1.95,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,4241,11,10,5.0,error_handling,No,No,,http://localhost:${PORT
cloudflare,ai-gateway,1462,0,"The Cloudflare MCP server implementation appears to be experiencing issues with repository access or configuration. This error indicates that the Git clone operation for the 'cloudflare/mcp-server-cloudflare' repository failed, suggesting either the repository doesn't exist publicly, has restricted access permissions, or there might be connectivity problems with the source control system. Without access to the implementation details, it's not possible to provide an accurate description of its purpose or functionality.",MINIMAL,2.51,2.7,6.4,-1.92,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,3219,4,1,5.0,license,Yes,Yes,,https://developer.mozilla.org/docs/Web/API/Event/composedPath; https://developer.mozilla.org/docs/Web/API/ReadableStream; https://developer.mozilla.org/docs/Web/API/FormData/get; https://developer.mozilla.org/docs/Web/API/EventTarget/addEventListener; https://developer.mozilla.org/docs/Web/API/FormData/set
