owner,repo,github_stars,download_count,experimental_ai_generated_description,risk_category,adjusted_risk_score,popularity_score,doc_quality_score,doc_quality_adjustment,readme_found,has_installation_docs,has_usage_docs,has_api_reference,has_security_docs,has_error_handling,has_cli_docs,has_code_examples,has_screenshots,has_license_info,readme_size_bytes,headings_count,code_blocks_count,readability_score,missing_sections,oauth_implementation,direct_api_tokens,main_risk_factors,outbound_connections
wshobson,mcp-trader,86,0,"This MCP trader server, developed by Seth Hobson, provides technical analysis capabilities for stock traders. It integrates with the Tiingo API to fetch financial data and leverages libraries like pandas and TA-Lib to perform comprehensive technical analysis on stocks. The server offers a single 'analyze-stock' tool that takes a stock symbol and returns key technical indicators including moving averages, momentum oscillators, and volume metrics. Built with Python and designed to run as a local MCP server, it's particularly useful for AI assistants or applications needing to generate detailed technical analysis reports or make data-driven trading recommendations based on current market data.",MINIMAL,0.73,1.0,7.8,-2.34,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,8610,26,12,5.0,,No,Yes,,https://api.tiingo.com/tiingo/daily/{symbol; http://localhost:8000/call-tool
run-llama,llamacloud-mcp,86,0,"LlamaCloud MCP server provides a tool for querying LlamaIndex documentation through RAG (Retrieval-Augmented Generation) using the LlamaCloud managed index service. Developed by Laurie Voss, this implementation connects to a pre-configured LlamaCloud index containing LlamaIndex documentation and uses it to answer queries with detailed responses including code examples. The server requires a LlamaCloud API key and optionally an OpenAI API key for powering the RAG queries, making it ideal for developers who need up-to-date access to LlamaIndex documentation within their AI assistant workflows.",MINIMAL,0.68,1.0,5.9,-1.77,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,5204,9,7,5.0,error_handling; license; project_info,No,Yes,,
yuchenssr,mindmap-mcp-server,86,6333,"Mindmap-MCP-Server provides a bridge between Markdown content and interactive mind maps using the markmap-cli tool. Built by YuChenSSR, this server exposes a single tool that converts Markdown text into HTML-based mind maps, with options to return either the complete HTML content or just the file path to the generated visualization. The implementation handles temporary file creation, subprocess management for the markmap-cli tool, and proper error handling. It's particularly useful for workflows that involve visualizing structured content, organizing thoughts, or creating interactive knowledge maps directly within Claude conversations.",MINIMAL,1.17,1.4,7.8,-2.34,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7441,23,10,5.0,,No,No,,
supercurses,powerpoint,86,0,"The server implements multiple tools:

create-presentation: Starts a presentation
Takes ""name"" as required string arguments
Creates a presentation object
add-slide-title-only: Adds a title slide to the presentation
Takes ""presentation_name"" and ""title"" as required string arguments
Creates a title slide with ""title"" and adds it to presentation
add-slide-title-content: Adds a title with content slide to the presentation
Takes ""presentation_name"", ""title"", ""content"" as required string arguments
Creates a title with content slide with ""title"" and ""content"" and adds it to presentation
add-slide-title-with-table: Adds a title slide with a table
Takes ""presentation_name"", ""title"", ""data"" as required string and array arguments
Creates a title slide with ""title"" and adds a table dynamically built from data
add-slide-title-with-chart: Adds a title slide with a chart
Takes ""presentation_name"", ""title"", ""data"" as required string and object arguments
Creates a title slide with ""title"" and adds a chart dynamically built from data. Attempts to figure out the best type of chart from the data source.
add-slide-picture-with-caption: Adds a picture with caption slide
Takes ""presentation_name"", ""title"", ""caption"", ""image_path"" as required string arguments
Creates a picture with caption slide using the supplied ""title"", ""caption"", and ""image_path"". Can either use images created via the ""generate-and-save-image"" tool or use an ""image_path"" supplied by the user (image must exist in folder_path)
open-presentation: Opens a presentation for editing
Takes ""presentation_name"" as required arguments
Opens the given presentation and automatically saves a backup of it as ""backup.pptx""
This tool allows the client to work with existing pptx files and add slides to them. Just make sure the client calls ""save-presentation"" tool at the end.
save-presentation: Saves the presentation to a file.
Takes ""presentation_name"" as required arguments.
Saves the presentation to the folder_path. The client must call this tool to finalize the process.
generate-and-save-image: Generates an image for the presentation using a FLUX model
Takes ""prompt"" and ""file_name"" as required string arguments
Creates an image using the free FLUX model on TogetherAI (requires an API key)",MINIMAL,0.7,1.0,6.5,-1.95,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,5062,11,21,5.0,error_handling,No,Yes,,
context-hub,generator,85,0,"Context Generator is a PHP-based tool for creating structured documentation from various sources including files, GitHub repositories, Git diffs, and URLs. It features a modular architecture with a powerful configuration system that supports imports, variables, and custom modifiers to transform content. The implementation includes an MCP server component that exposes prompts and tools for AI assistants to interact with the filesystem, retrieve project structure, and execute custom commands. Particularly useful for generating comprehensive code documentation, analyzing changes in projects, and providing context for AI-assisted development workflows.",MINIMAL,0.72,1.0,7.5,-2.25,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,8067,13,5,3.5,,No,Yes,,
kaliaboi,mcp-zotero,85,2405,"This Zotero MCP server, developed by Abhishek Kalia, provides AI assistants with a standardized interface to interact with Zotero libraries. Built using TypeScript and leveraging the Zotero API client, it offers capabilities for listing collections, retrieving item details, searching libraries, and fetching recently added papers. The server abstracts Zotero API authentication and request handling, enabling seamless integration with AI systems. It's particularly valuable for researchers and academics working with AI assistants, facilitating use cases such as literature reviews, citation management, and research organization within the Zotero ecosystem.",MINIMAL,0.91,1.2,6.9,-2.07,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2514,5,9,5.0,usage,No,Yes,,
metatool-ai,mcp-server-metamcp,85,11629,"This MCP server implementation manages multiple MCPs through a centralized interface, streamlining AI assistant interactions across various platforms. Developed by James Zhang, it utilizes TypeScript and integrates with the Model Context Protocol SDK. The server focuses on secure API key management and provides a unified access point for multiple MCP services. It's designed for scalability and easy configuration, making it particularly useful for applications that need to coordinate multiple AI assistants or integrate diverse AI services. The implementation supports Docker deployment and is optimized for production environments, offering a robust solution for complex AI orchestration scenarios.",MINIMAL,1.39,1.6,6.9,-2.07,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,4935,17,9,3.5,error_handling,Yes,Yes,,
thrashr888,terraform-mcp-server,85,8364,"This MCP server implementation provides tools for interacting with the Terraform Registry API, enabling AI agents to query provider information, resource details, module metadata, and generate example configurations. Developed by Paul Thrasher, it offers functionalities such as provider lookup, resource usage examples, module recommendations, data source lookup, and schema details retrieval. Built with TypeScript and leveraging the Model Context Protocol SDK, the server is particularly useful for AI applications that need to automate Terraform-related tasks, assist in infrastructure-as-code development, or provide intelligent suggestions for Terraform configurations.",MINIMAL,1.18,1.4,7.4,-2.22,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7475,15,3,3.5,,Yes,Yes,,
biegehydra,bifrostmcp,84,0,This MCP server implementation provides C# language features via the Model Context Protocol. It integrates with the C# extension for Visual Studio Code and exposes capabilities like finding symbol references across a codebase. The server runs on port 8003 and is designed to enhance AI-assisted coding workflows for C# projects.,MINIMAL,0.77,1.0,7.8,-2.34,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,9181,27,10,5.0,,No,No,,
jfrog,mcp-jfrog,84,0,"JFrog MCP Server provides a bridge to the JFrog Platform, enabling AI assistants to interact with Artifactory repositories, builds, security scanning, and release management. Developed by JFrog LTD, this TypeScript implementation exposes over 20 specialized tools for operations like repository creation, build tracking, package vulnerability scanning, and release bundle distribution. The server authenticates via JFrog access tokens and handles errors gracefully with detailed messages. Particularly valuable for DevOps teams and developers who want to leverage AI assistants for artifact management, security analysis, and release automation without switching context to the JFrog web interface.",MINIMAL,0.29,1.0,7.1,-2.13,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,13982,17,8,3.5,error_handling,Yes,No,,
